Name,Titre,Contenu,Excerpt,Catégorie,Date,SEO:Slug
13,Le service d'immatriculation des PDP a ouvert,"Afin de préparer la mise en place progressive de la facturation électronique, dont les obligations entreront pleinement en vigueur à partir du 1er juillet 2024, un nouveau service d’immatriculation pour les plateformes de dématérialisation partenaires (PDP) voit le jour. Cette structure sera l'interlocuteur privilégié des PDP et ouvrira ses portes le 2 mai 2023.
Missions principales
Ce service, basé à Lille sous la tutelle de la DGFiP, aura pour rôle principal :
- D'encadrer la procédure d'immatriculation des PDP et de gérer le renouvellement périodique de cette immatriculation
- De surveiller le respect des obligations de transmission par les PDP et les utilisateurs, avec une faculté de mettre en œuvre des sanctions pécuniaires si nécessaire
- De gérer le retrait du numéro d'immatriculation des PDP en cas de manquements répétés à leurs obligations
Procédure de candidature pour les entreprises
Les entreprises aspirant à obtenir le statut de PDP devront passer par une procédure spécifique. Celle-ci implique :
- Le dépôt d'une candidature via un formulaire déclaratif disponible sur le site ""démarches simplifiées""
- L'accompagnement par un guide utilisateur pour faciliter la soumission des dossiers
Phase d'expérimentation avant le déploiement
Avant la mise en application totale des mesures, une phase d'expérimentation sera mise en place au premier semestre 2024. Pendant cette période, les utilisateurs auront la possibilité :
- D'utiliser le portail public de facturation (PPF) pour la saisie, le dépôt ou la transmission de leurs factures électroniques et les données obligatoires
- De faire appel à des opérateurs de dématérialisation, agréés en tant que PDP, pour ces mêmes services
Ces préliminaires permettront d'assurer un déploiement fluide et efficace de la facturation électronique à partir du 1er juillet 2024.",Un service d’immatriculation pour les PDP ouvre le 2 mai 2023 pour encadrer et superviser le processus de la réforme de la facture électronique.,Facture électronique,2/5/2023,le_service_d_immatriculation_des_pdp_a_ouvert
14,"HiFiveWork lance AfricaPaieRH, outil SIRH en Afrique francophone","Lancement d'AfricaPaieRH
Le secteur des PME en Afrique francophone est sur le point de connaître une évolution majeure grâce au lancement d’AfricaPaieRH, une plateforme dédiée à la gestion RH.
Un outil adapté aux spécificités régionales
En se concentrant précisément sur les petites et moyennes entreprises d’Afrique francophone, AfricaPaieRH se démarque nettement des autres solutions présentes sur le marché, souvent axées sur des entreprises de plus grande envergure.
Fonctionnalités ciblées
Le logiciel propose une gamme de fonctionnalités pensées pour faciliter et optimiser la gestion quotidienne du personnel. Parmi ces outils, nous retrouvons :
- Une gestion simplifiée des congés et absences
- Un système de planification du personnel efficace
- Un coffre-fort numérique sécurisé pour le stockage des documents RH
- Une approche digitalisée pour le traitement des notes de frais
Flexibilité et personnalisation
AfricaPaieRH met en avant sa flexibilité, permettant aux entreprises d’activer uniquement les fonctionnalités dont elles ont besoin, une approche qui promet de réduire les coûts inutiles tout en fournissant un service personnalisé.
Conclusion
AfricaPaieRH arrive sur le marché avec la promesse d’une solution à la fois complète et flexible, positionnant les PME d’Afrique francophone sur la voie de la digitalisation avancée en matière de gestion des ressources humaines. Un pas important vers un futur plus simplifié et optimisé pour les entreprises de la région.",HiFiveWork annonce AfricaPaieRH est une plateforme RH et paie innovante axée sur les besoins des PME d'Afrique francophone.,Annonce,6/6/2023,hifivework_lance_africapaierh__outil_sirh_en_afrique_francophone
15,"Agiris rachète Welyb, portail client et GED en SaaS","Contexte de l'acquisition
Le 4 juillet 2023 marque un tournant pour Welyb, désormais détenu entièrement par le Groupe ISAGRI, spécialiste des solutions logicielles. Un choix stratégique, rendu public le 6 juillet, nourri par un début d'année prometteur pour Welyb, affichant un chiffre d'affaires pour les six premiers mois de 2023 déjà supérieur à celui de 2022, et par la sortie d'une nouvelle application mobile. Les fondateurs aspirent à continuer sur cette lancée, œuvrant pour un ""internet simple, sécurisé, ouvert et responsable"".
Les ambitions redéfinies
L'intégration au sein du Groupe ISAGRI offre à Welyb l'opportunité d'accélérer sa croissance face à des défis de taille, notamment l'arrivée de la facturation électronique en France et la nécessité d'une digitalisation rapide des entreprises. La décision s'est imposée naturellement, rejoindre ISAGRI représentant une alternative à une levée de fonds. L'objectif ? Construire un internet souverain et européen, tout en développant de nouveaux services liés à la gestion de documents.
Les perspectives futures
Le partenariat se veut mutuellement bénéfique ; Welyb conservant son équipe et son organisation, tout en ambitionnant de devenir leader en gestion électronique de documents (GED) pour les experts-comptables, fort d'une augmentation de services via Cecurity, également membre du Groupe ISAGRI. Cette collaboration va notamment permettre de proposer une solution de PDP à leurs clients et de poursuivre une logique d'ouverture et d'interconnexion avec divers outils des cabinets et clients.
""En rejoignant le Groupe ISAGRI, nous faisons le choix de l’ambition."" - Communiqué de presse Welyb, 5 juillet 2023

Les deux entités s'engagent à un partenariat ""gagnant-gagnant"", œuvrant ensemble vers des horizons prometteurs, et faisant écho à l'ambition d'ISAGRI de devenir leader mondial du digital en agriculture et leader dans l'édition informatique pour la profession comptable en France d'ici 2030.","Le Groupe ISAGRI acquiert Welyb, la plateforme de gestion électronique de documents pour les cabinets d'expertise comptable.",Acquisition,6/7/2023,agiris_rachète_welyb__portail_client_et_ged_en_saas
16,Report de la réforme de la facture électronique,"Report de l'obligation de facturation électronique
- Report annoncé le 28 juillet 2023 par la DGFIP.
- La nouvelle date sera précisée dans la loi de finances pour 2024.
- Le report vise à assurer un passage optimal et sécurisé à la facturation électronique pour toutes les entreprises.

Rappel sur la facturation électronique
- Obligatoire depuis le 1er janvier 2021 pour les factures destinées au secteur public, en utilisant principalement le portail Chorus Pro.
- Transmission sur une plateforme utilisée par l'émetteur et le destinataire, pouvant être Chorus Pro ou une plateforme de dématérialisation partenaire accréditée.
- Un service d'immatriculation pour les plateformes de dématérialisation partenaire a été inauguré en mai 2023.

Champ d'application et modalités
- Concerne toutes les entreprises établies en France et assujetties à la TVA.
- Incorporation de nouvelles mentions obligatoires sur les factures, dont le numéro SIREN et l'adresse de livraison.
- Sécurisation via un cachet électronique qualifié possible grâce à la loi de finances pour 2023.
- Conservation obligatoire des factures sous format informatique pour une durée de 6 ans.

Préparation des entreprises à la transition
- Les entreprises doivent identifier les changements à apporter et adapter leur processus de traitement des factures.
- Choix d'une plateforme de réception des factures électroniques nécessaire.
- Ressources pour les entreprises : vidéos explicatives de l'AIFE et fiches informatives de la DGFIP.

Objectifs de la réforme
- Lutte contre la fraude à la TVA et diminution des charges administratives grâce à la dématérialisation.
- Amélioration de la connaissance de l'activité des entreprises en temps réel.
- Facilitation des obligations déclaratives de TVA à long terme.

Application outre-mer
- Non-applicable dans les collectivités d'outre-mer (COM) et certaines régions des départements d'outre-mer (DOM) où la TVA n'est pas en vigueur.
- Mise en place de l'e-reporting pour les transactions impliquant la France métropolitaine.
- Applicable dans les DOM de la Guadeloupe, Martinique, et La Réunion avec mise en place de l'e-reporting et de la facturation électronique.

Les entreprises sont invitées à se préparer activement pour cette transition majeure, en prenant connaissance des multiples ressources mises à leur disposition pour faciliter cette transition.","Le report de la généralisation de la facturation électronique a été annoncé, prévue initialement pour le 1er juillet 2024. On vous explique tout.",Facture électronique,29/7/2023,report_de_la_réforme_de_la_facture_électronique
18,Nouveau Calendrier de la Facturation Électronique,"Nouveau Calendrier de la Réforme
- Date de démarrage de la réforme: La DGFip, dirigée par Jérôme Fournel, souhaite lancer la réforme en 2026 avec une montée en puissance entre 2026 et 2027.
- Phase pilote: Initialement prévue au 1er semestre 2024, elle est maintenant décalée à 2025.
- Raisons du décalage: Jérôme Fournel justifie ce changement par le fait que les entreprises ne sont pas encore prêtes et que des défis techniques persistent.
""Pour que les gens soient prêts et que la technique soit prête, il faut effectivement prendre un peu plus de temps"", a déclaré Jérôme Fournel.

Immatriculation des Plateformes de Dématérialisation Partenaires (PDP)
- Immatriculation provisoire: Un processus d'immatriculation provisoire des PDP est en cours d'examen.
- Durée de l'immatriculation: Les périodes d'immatriculation seront prolongées, permettant aux PDP de s'inscrire temporairement.
- Aspects techniques et juridiques: Les PDP devront passer des tests avec le portail public de facturation (PPF) pour obtenir l'immatriculation.


Séparation de l'E-invoicing et de l'E-reporting
- Étude en cours: La DGFip examine la possibilité de séparer l'e-invoicing et l'e-reporting.
- Impact sur le calendrier: La décision de séparation ne doit pas compromettre le calendrier global du projet.


Il est clair que les ajustements au calendrier et aux modalités de la réforme de la facturation électronique sont principalement dus à des défis techniques et à un manque de préparation des entreprises.","La Direction Générale des Finances Publiques (DGFip) a dévoilé un nouveau calendrier pour la mise en place de la facture électronique. La réforme débutera en 2026 avec une montée en puissance entre 2026 et 2027, et une phase pilote projetée pour 2025. L'immatriculation provisoire des plateformes de dématérialisation partenaires (PDP) est également à l'étude.",Facture électronique,17/10/2023,nouveau_calendrier_de_la_facturation_électronique
19,Temps 2000 devient Tempolia,"Un changement de nom révélateur
- Nouvelle identité : L'éditeur de logiciel Temps 2000 change de nom et devient : Tempolia. Acteur indépendant depuis 35 ans spécialisé dans la gestion du temps et la gestion interne.
- Évolution stratégique : Pour marquer sa transition vers des solutions SAAS plus avancées et modernes.
- But du changement : Adapter les outils aux besoins actuels des experts-comptables et mettre en avant ses nouvelles solutions SAAS

Caractéristiques de Tempolia
Vous pouvez retrouver plus de détails concernant leur offre sur notre page dédiée à Tempolia.
- Orientation SAAS : Fournit des services hébergés dans le cloud, offrant flexibilité et accessibilité.
- Améliorations fonctionnelles : Intégration de fonctionnalités avancées pour une gestion plus efficace.
- Interface utilisateur modernisée : Conçue pour une expérience utilisateur améliorée et une prise en main intuitive.
- Utilisé quotidiennement par plus de 10 500 professionnels

Forfaits exclusivement en web :
- Tempolia Corporate, qui dispose de la gestion des temps et des frais;
- Tempolia Expert qui en plus permet de gérer la facturation, budgets de facturation, règlements, lettres de missions;
- Tempolia Enterprise pour les ETI et grandes entreprises qui met en places des connecteurs sur mesure pour RH et comptabilité
",L'éditeur historique de logiciel de gestion des temps Temps 2000 change de nom et devient Tempolia pour marquer son virage vers les offres SAAS et la sortie d'offres SaaS.,Annonce,26/12/2023,temps_2000_devient_tempolia
20,"Cyberattaque majeure chez Coaxis : rançongiciel et arrêt complet de ses services d'hébergement
","Détails sur l'attaque
- Incident majeur chez Coaxis : La société Coaxis, hébergeur certifié de données de santé (HDS), a subi une cyberattaque par rançongiciel le vendredi 8 décembre.
- Réaction de l'entreprise : Immédiatement après la détection de l'incident, le directeur général Joseph Veigas a annoncé l'implication d'un rançongiciel. La société a isolé ses systèmes pour protéger les données clients et a informé les autorités compétentes.
- Vulnérabilité exploitée : La vulnérabilité CitrixBleed (CVE-2023-4966) pourrait être à l'origine de cette cyberattaque, similaire à d'autres attaques récentes sur d'importantes entreprises.

Impact et mesures prises
- Impact sur les services et les clients : Coaxis, avec des clients dans le domaine de l'expertise comptable mais aussi des des soins de santé, a dû suspendre ses services (comme l'hébergement ou les boîtes mail) impactant ainsi l'accès aux données essentielles.
- Sauvegardes et restauration : Heureusement, la majorité des sauvegardes étaient intactes, permettant en théorie une récupération progressive des données dans les 15 prochaines jours. La société travaille sur la vérification de l'intégrité et la fonctionnalité des sauvegardes pour une réouverture sécurisée.

Conséquences et Prévention
- Conséquences économiques : Cette attaque a eu des répercussions importantes, provoquant un chômage technique chez certains clients et un ralentissement des activités dans la région.
- Mesures de prévention futures : Coaxis se concentre maintenant sur la sécurisation de ses infrastructures pour prévenir de futures attaques, soulignant l'importance de la cybersécurité dans le secteur de la santé.

""Nous avons eu à faire à un groupe d’attaquants connu... Nous nous devons de rester discrets sur nos modalités de reconstruction"" - Joseph Veigas, Directeur Général de Coaxis.

Retrouver notre article sur les meilleurs hébergeurs pour experts-comptables.","La société de services numériques Coaxis, spécialisée dans l'hébergement de données pour expert-comptable, a récemment été la cible d'une attaque de rançongiciel. Cette cyberattaque a provoqué l'arrêt de ses services. Les sauvegardes majoritairement préservées, la société travaille activement à la restauration de ses services.",Annonce,12/12/2023,"cyberattaque_majeure_chez_coaxis___rançongiciel_et_arrêt_complet_de_ses_services_d_hébergement
"
21,Qonto enrichit son offre pour TPE-PME en rachetant Regate,"Qonto, la néobanque française pour professionnels, vient d'annoncer le rachat de la start-up Regate. Cette acquisition stratégique va permettre à Qonto de compléter sa suite d'outils financiers à destination des petites entreprises, et d'accéder à un nouveau canal de distribution clé : les experts-comptables.
Regate, créée en 2020, a développé une plateforme de gestion financière et comptable tout-en-un pour les TPE et PME. Celle-ci propose des fonctionnalités comme la facturation, la gestion des notes de frais, le suivi des relances clients, etc. La jeune pousse a déjà séduit 10 000 entreprises clientes et levé 27 millions d'euros auprès d'investisseurs réputés comme Valar Ventures.
Pour Qonto, ce rachat permet d'étoffer significativement son offre de services aux petites entreprises, au-delà de son compte pro et sa carte de paiement initiale. ""Regate a construit une plateforme très complémentaire et plus avancée que nos outils actuels"" a déclaré Alexandre Prot, co-fondateur de Qonto.
Mais surtout, Regate distribue aussi sa solution auprès de 500 cabinets d'experts-comptables, ouvrant ainsi un nouveau canal de distribution stratégique pour Qonto. ""Nous nous sommes rencontrés avec les fondateurs de Regate lors d'un congrès d'experts-comptables, ce qui montre l'importance de ce canal"" explique Alexandre Prot.
Avec plus de 450 000 clients professionnels en France, Allemagne, Espagne et Italie, Qonto accélère ainsi sa diversification pour devenir une suite d'outils financiers incontournable pour les TPE-PME. Un pari stratégique qui rappelle celui de Pennylane, autre licorne française qui ambitionne de créer un hub de gestion financière complet pour les entreprises.","Qonto met la main sur Regate, une plateforme de gestion financière et comptable pour les TPE-PME, pour un montant non communiqué. Créée en 2020 par des anciens de Mailjet, elle propose une suite d'outils comme de la facturation, de la gestion de notes de frais, de la relance client… 
La licorne, qui compte 450.000 clients, passera ainsi de 1.400 à 1.500 salariés. Pour Regate, cette opération lui permet évidemment d'avoir plus de moyens et de s'étendre à l'échelle européenne.",Acquisition,7/3/2024,qonto_enrichit_son_offre_pour_tpe-pme_en_rachetant_regate
22,Pennylane lève 40 millions d'euros pour une valorisation de plus d'1 milliard d'euros,"La fintech française Pennylane, pionnière de la Comptatech, vient de boucler une levée de fonds de 40 millions d'euros en Série C auprès de Sequoia Capital et DST Global. Cette opération propulse l'entreprise au rang de licorne, reflétant sa très forte croissance au cours des deux dernières années. En effet, Pennylane a multiplié par 40 le nombre de TPE-PME utilisant sa plateforme, grâce à l'adoption de son outil par plus de 2 000 cabinets d'expertise-comptable.

Pennylane se distingue par son modèle économique : la société facture aux cabinets son outil de production comptable, tout en générant des revenus supplémentaires lorsque les cabinets équipent leurs clients de l'outil de gestion tout-en-un incluant un compte pro. Les fonds levés permettront à Pennylane d'accélérer le développement de ses modules, d'investir massivement dans l'intelligence artificielle et d'adopter une stratégie de croissance externe

L'objectif de Pennylane est de devenir le moteur de l'évolution de l'expertise-comptable en valorisant le rôle des experts-comptables plutôt que de prôner une automatisation totale. La plateforme offre des gains de temps considérables, une meilleure visibilité sur les finances pour les entreprises clientes et permet aux experts-comptables de jouer pleinement leur rôle de tiers de confiance.

Grâce à l'IA, Pennylane souhaite aller encore plus loin en apportant de nouvelles innovations aux professionnels du chiffre. Un chatbot spécifique au domaine comptable et un centre d'opportunités sont notamment envisagés pour une action comptable plus ciblée et pertinente. La fintech ambitionne également d'aider les collaborateurs à évoluer vers des missions d'accompagnement et de reporting, en les ""augmentant"" à l'aide de l'intelligence artificielle.

Cette levée de fonds intervient à un moment clé pour Pennylane, qui enregistre une croissance exceptionnelle. Elle va permettre à la société de soutenir encore plus les cabinets d'expertise comptable dans leur transition numérique et l'adoption de nouvelles technologies, afin de les armer face à la concurrence des néobanques et des solutions de comptabilité en ligne.","La fintech française Pennylane, pionnière de la Comptatech, vient de boucler un tour de table de 40 millions d'euros mené par Sequoia Capital et DST Global. Cette levée de fonds propulse la startup au rang de licorne, valorisant l'entreprise à plus d'un milliard d'euros.",Levée de fond,8/2/2024,pennylane_lève_40_millions_d_euros_pour_une_valorisation_de_plus_d_1_milliard_d_euros
23,"Visma rachète Chaintrust, pour renforcer son offre suite avec Inqom","Crée en 2018, Chaintrust, une solution de saisie automatisée (OCR) utilisé par plus de 600 cabinet d'expertise comptable en France, a été acquis par Visma. C'est sa seconde acquisition en France après le rachat de Inqom.

- Détail sur l'aquisition : Visma, un leader européen des logiciels cloud qui a récemment levé 4 milliards d'euros, a acquis Chaintrust, spécialisée dans l’automatisation et la saisie comptable.  Cette acquisition s’inscrit dans la stratégie globale de Visma de créer un écosystème complet et intégré pour les cabinets d’expertise comptable en France. En effet, en 2022 elle acquis la start-up française Inqom, spécialisée dans l’automatisation des tâches comptables. 
- Intérêt de l'opération : Cette opération vise donc à créer des synergies entre Chaintrust et Inqom, améliorant ainsi l’expérience client. Visma voit le marché français comme un terrain propice à l’innovation et à la croissance. L’objectif ultime est de révolutionner et d’optimiser la gestion comptable grâce à des solutions intégrées.
- Présentation de Visma : L'entreprise norvégienne est extrèmement active dans l’acquisition de start-up technologique en Europe, notamment dans les secteurs des logiciels et des fintechs. Le groupe cible des entreprises dans toute l’Europe, avec une présence dans une vingtaine de pays et un chiffre d’affaires de plus de deux milliards d’euros. Elle a racheté plus de 100 entreprises depuis 2021.","Visma, un leader européen des logiciels cloud qui a récemment levé 4 milliards d'euros, a acquis Chaintrust, spécialisée dans l’automatisation et la saisie comptable. Ce rachat fait suite au rachat du logiciel de production comptable Inqom en 2022.",Acquisition,17/1/2024,visma_rachète_chaintrust__pour_renforcer_son_offre_suite_avec_inqom
24,CEGID rachète EBP pour atteindre 750 000 clients,"Cegid entre en négociations exclusives pour acquérir EBP, pionnier des logiciels de gestion pour TPE/PME.
- L'acquisition permettra à Cegid d'accélérer sa stratégie européenne sur le marché des petites entreprises
- Cegid deviendra un leader pesant près d'un milliard d'euros annuels avec 750 000 clients
- EBP apporte à Cegid une large base clients et un réseau de 440 partenaires
- Pour EBP, l'adossement à Cegid permettra d'accélérer des chantiers stratégiques : passage au cloud, intégration de l'IA, généralisation de la facture électronique
- L'opération rapproche Cegid de son objectif de doubler son chiffre d'affaires à 1,3 milliard d'euros d'ici 2026
 
Cette acquisition de grande ampleur fait suite à de nombreux mouvements de ces derniers mois que l'on a détaillé dans nos news : levée de fond de Pennylane, rachat de Regate par Qonto, rachats d'entreprises par Visma, etc","Cegid entre en négociations exclusives pour acquérir EBP, pionnier des logiciels de gestion pour TPE/PME. Un rapprochement stratégique visant à créer un leader européen.",Acquisition,25/4/2024,cegid_rachète_ebp_pour_atteindre_750_000_clients
25,Visma consolide sa position en France avec l'acquisition de MyCompanyFiles,"Visma, leader européen des logiciels cloud, rachète MyCompanyFiles qui a plus de 800 cabinets d'expertise comptable clients. Après le rachat de Inqom, ChainTrust et Teledec en 2023 et 2024, ce rachat confirme les ambitions de Visma dans le secteur.
Une acquisition stratégique
- Visma annonce l'acquisition de MyCompanyFiles, spécialiste français des plateformes sécurisées pour l'échange de documents.
- Cette acquisition est la troisième de Visma en 2024 (après les rachats de Inqom et Chaintrust notamment) consolidant sa position sur le marché français des services comptables et professionnels.
« Nous voulons être le fournisseur préféré de logiciels intelligents, efficaces et sécurisés pour les cabinets d’expertise comptable », a déclaré Merete Hverven, PDG de Visma.

Expansion et intégration
- MyCompanyFiles, fondée en 2011, est reconnue pour sa plateforme innovante et conforme au RGPD.
- Le partenariat avec Visma permettra à MyCompanyFiles de bénéficier de ressources financières et technologiques supplémentaires.
- Visma a déjà intégré Chaintrust et Teledec en janvier 2024.
- MyCompanyFiles continuera à fonctionner avec son équipe de direction actuelle.
« Ce partenariat nous permettra de proposer des solutions améliorées et de favoriser une croissance durable sur le marché français », souligne Charles-Olivier Diebold, CEO de MyCompanyFiles.

Objectifs de croissance
- Chiffre d'affaires visé en France en 2024: 25 millions d'euros.
- Visma entend poursuivre sa croissance rapide et innover continuellement pour offrir de la valeur à ses clients.
- À l’échelle mondiale, Visma a réalisé 675 millions d'euros de chiffre d’affaires au premier trimestre 2024, représentant une croissance de 18 % par rapport à l'année précédente.
« Ensemble, nous continuerons à innover et à offrir une valeur exceptionnelle à nos clients », affirme Olivier Constant, Business Area Director, SMB Segment, Visma.

À propos de Visma
- Leader européen des logiciels cloud avec des solutions SaaS pour la comptabilité, la gestion financière et fiscale.
- Plus de 1,7 million de clients en Europe et en Amérique latine.
- Chiffre d'affaires de 2,4 milliards d'euros en 2023, avec une valorisation récente à 19 milliards d'euros en décembre 2023.","Visma, leader européen des logiciels cloud, renforce sa présence en France avec l'acquisition de MyCompanyFiles, un acteur majeur dans le domaine des plateformes sécurisées pour les cabinets d’expertise comptable.",Acquisition,23/5/2024,visma_consolide_sa_position_en_france_avec_l_acquisition_de_mycompanyfiles
